model,original_file,bpmn2:participant,bpmn2:messageFlow,bpmn2:startEvent,bpmn2:choreographyTask,bpmn2:sequenceFlow,bpmn2:endEvent,ns0:participant,ns0:messageFlow,ns0:startEvent,ns0:choreographyTask,ns0:endEvent,ns0:sequenceFlow,ns0:textAnnotation,ns0:association,ns0:intermediateCatchEvent,ns0:group,bpmn2:exclusiveGateway__unspecified,bpmn2:parallelGateway__unspecified,ns0:exclusiveGateway__Diverging,ns0:eventBasedGateway__Diverging,ns0:exclusiveGateway__Converging,ns0:parallelGateway__Diverging,ns0:parallelGateway__Converging
sid_41ea7b61_d119_40f7_9bfd_827072d99edd,1ece2128536b4bf7bd4657508603b355.bpmn,0,0,0,0,0,0,22,15,1,11,1,20,0,0,0,0,0,0,1,3,0,0,0
sid_43759ceb_297d_45bc_be26_ca0fbe1005bf,f9aae718ff334b779d4925a3adecdb49.bpmn,0,0,0,0,0,0,14,8,1,7,1,14,0,0,0,0,0,0,2,0,2,0,0
sid_4403d60b_6072_427f_8914_d05f126ac4a4,1b3ba3a5261e41519943528ccc88fd29.bpmn,0,0,0,0,0,0,14,12,1,7,1,14,0,0,0,0,0,0,2,1,0,0,0
sid_456ee830_bc3c_4f84_8cf1_387f05f0eb06,1c273a0818b146269ac04f6b8d518698.bpmn,0,0,0,0,0,0,16,11,1,8,1,11,0,0,0,0,0,0,1,0,0,0,0
sid_48bc8f06_fc71_4dd2_b520_ae758d6acf82,0cad2ceffcad428aab5664a733b078e6.bpmn,0,0,0,0,0,0,24,14,1,12,1,17,0,0,0,0,0,0,2,0,0,0,0
sid_49750b77_ac60_4753_9546_7a2f420eb466,0b7d875d4fbc43d1acacca231152afb0.bpmn,0,0,0,0,0,0,14,8,1,7,1,14,0,0,0,0,0,0,2,0,2,0,0
sid_4a070cda_ba8f_4133_9dc4_b819d8069c3d,0a24353143084da9a5e68621912072ad.bpmn,0,0,0,0,0,0,14,7,1,7,1,11,0,0,0,0,0,0,0,0,0,1,1
sid_4a131a1b_ca7a_42b6_8b0f_f730e94ddad8,3fb59b22ca624300a2caf5857664b5df.bpmn,0,0,0,0,0,0,6,4,1,3,1,6,0,0,0,0,0,0,1,0,0,0,0
sid_4ba1809d_622c_4393_9969_d514f1fba8d1,4c0c71fe89044cd4b5f308177b1d03b4.bpmn,0,0,0,0,0,0,10,5,1,5,1,6,0,0,0,0,0,0,0,0,0,0,0
sid_4d7002e8_d91f_4c7c_a964_34a6b62cff72,6b175e35ca254467b4272c2042a3eeee.bpmn,0,0,0,0,0,0,6,3,1,3,1,6,0,0,0,0,0,0,1,0,0,0,0
