model,ns0:participant,ns0:messageFlow,ns0:choreographyTask,ns0:exclusiveGateway,ns0:endEvent,ns0:sequenceFlow,ns0:startEvent,ns0:subChoreography,ns0:intermediateCatchEvent,ns0:eventBasedGateway,ns0:textAnnotation,ns0:association,ns0:parallelGateway,ns0:intermediateThrowEvent,ns0:inclusiveGateway,ns0:extensionElements,ns0:boundaryEvent,ns0:group,ns0:complexGateway
sid-2d00d074-8092-4cc8-876c-38e30e93578e,6,3,3,1,1,8,1,0,0,0,0,0,1,0,0,0,0,0,0
sid-beed21ea-b87d-4b71-abed-7d2c660863dd,6,4,3,2,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-bdbde234-c55d-46a0-9e89-62c51f29d161,8,5,4,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-0de8854f-07eb-4d06-8e49-148a373df43a,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-221e4abb-4484-4399-95f2-e4c05587dd80,46,37,23,4,4,55,2,0,7,3,0,0,2,0,2,0,0,0,0
sid-11f0cab7-e752-4a13-a29e-8f10522dbf7c,6,4,3,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-c74a100e-3e54-409f-9986-cc046a89833b,20,10,10,3,1,17,1,0,1,0,0,0,0,0,0,0,0,0,0
sid-4897723a-e23c-4231-9340-70ae17739921,26,13,13,1,2,20,4,0,0,0,0,0,0,0,0,0,0,0,0
sid-6aee5be6-882d-47e6-96b5-be79aa7899ef,14,13,7,4,1,15,1,0,0,0,0,0,0,1,0,0,0,0,0
sid-dbf8295b-13d4-4bb1-b976-bc765456e0f8,8,4,4,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-8cf04aa5-ed38-43f8-a628-7e211cc2f882,8,4,4,2,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0
sid-58485904-a81a-4272-b538-07f8d1088ece,26,18,13,0,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0
